username,author_id,tweet_id,tweet_link,view_count,retweet_count,reply_count,like_count,quote_count,followers
realmadrid,14872237,1460374571857727488,https://twitter.com/14872237/status/1460374571857727488,102817,949,0,0,0,39117658
realmadrid,14872237,1460314153797578752,https://twitter.com/14872237/status/1460314153797578752,0,949,88,8574,190,39117658
realmadrid,14872237,1460299055276322816,https://twitter.com/14872237/status/1460299055276322816,0,105,9,1805,4,39117658
realmadrid,14872237,1460287112226512898,https://twitter.com/14872237/status/1460287112226512898,94806,204,30,2869,14,39117658
realmadrid,14872237,1460268857004900361,https://twitter.com/14872237/status/1460268857004900361,0,292,32,6402,23,39117658
realmadrid,14872237,1460238717453541381,https://twitter.com/14872237/status/1460238717453541381,0,168,0,0,0,39117658
realmadrid,14872237,1460223556667777034,https://twitter.com/14872237/status/1460223556667777034,125096,1110,113,17128,170,39117658
realmadrid,14872237,1460201129929752578,https://twitter.com/14872237/status/1460201129929752578,0,451,41,4622,85,39117658
realmadrid,14872237,1460179557961633794,https://twitter.com/14872237/status/1460179557961633794,0,99,17,2270,2,39117658
realmadrid,14872237,1459955540830871553,https://twitter.com/14872237/status/1459955540830871553,0,208,134,9536,41,39117658
realmadrid,14872237,1459947991284928513,https://twitter.com/14872237/status/1459947991284928513,72261,174,38,5801,7,39117658
realmadrid,14872237,1459937421215375360,https://twitter.com/14872237/status/1459937421215375360,0,428,45,4816,45,39117658
realmadrid,14872237,1459924083374764033,https://twitter.com/14872237/status/1459924083374764033,0,524,57,18074,28,39117658
realmadrid,14872237,1459861168835731466,https://twitter.com/14872237/status/1459861168835731466,0,195,38,6846,14,39117658
realmadrid,14872237,1459830970807422976,https://twitter.com/14872237/status/1459830970807422976,0,650,345,24486,130,39117658
realmadrid,14872237,1459646001124454405,https://twitter.com/14872237/status/1459646001124454405,0,233,28,7406,12,39117658
realmadrid,14872237,1459642233099984902,https://twitter.com/14872237/status/1459642233099984902,0,326,94,11270,30,39117658
realmadrid,14872237,1459639106326175750,https://twitter.com/14872237/status/1459639106326175750,0,1617,175,37780,83,39117658
realmadrid,14872237,1459596932645539854,https://twitter.com/14872237/status/1459596932645539854,0,194,37,6965,8,39117658
realmadrid,14872237,1459589377986732033,https://twitter.com/14872237/status/1459589377986732033,0,177,50,5931,28,39117658
realmadrid,14872237,1459581830596894731,https://twitter.com/14872237/status/1459581830596894731,81959,472,60,15119,11,39117658
realmadrid,14872237,1459538767677734913,https://twitter.com/14872237/status/1459538767677734913,0,57,0,0,0,39117658
realmadrid,14872237,1459491231424204805,https://twitter.com/14872237/status/1459491231424204805,0,388,29,6646,16,39117658
realmadrid,14872237,1459430833798799360,https://twitter.com/14872237/status/1459430833798799360,0,200,31,6263,7,39117658
realmadrid,14872237,1459279846744330245,https://twitter.com/14872237/status/1459279846744330245,0,327,79,12735,35,39117658
realmadrid,14872237,1459264741378084867,https://twitter.com/14872237/status/1459264741378084867,0,446,47,9867,31,39117658
realmadrid,14872237,1459234543810977794,https://twitter.com/14872237/status/1459234543810977794,0,171,25,3389,7,39117658
realmadrid,14872237,1459234542984724481,https://twitter.com/14872237/status/1459234542984724481,52647,148,62,5304,12,39117658
realmadrid,14872237,1459204344235102212,https://twitter.com/14872237/status/1459204344235102212,0,235,22,5049,14,39117658
realmadrid,14872237,1459189252802162693,https://twitter.com/14872237/status/1459189252802162693,53898,706,68,22682,43,39117658
realmadrid,14872237,1459174156252205056,https://twitter.com/14872237/status/1459174156252205056,0,186,0,0,0,39117658
realmadrid,14872237,1459159048918609923,https://twitter.com/14872237/status/1459159048918609923,0,299,46,3637,41,39117658
realmadrid,14872237,1459143945947127809,https://twitter.com/14872237/status/1459143945947127809,0,328,33,10653,12,39117658
realmadrid,14872237,1459121293895163904,https://twitter.com/14872237/status/1459121293895163904,0,254,29,4943,19,39117658
realmadrid,14872237,1459106195554258948,https://twitter.com/14872237/status/1459106195554258948,0,257,28,7752,4,39117658
realmadrid,14872237,1459083551681482753,https://twitter.com/14872237/status/1459083551681482753,0,517,51,17568,19,39117658
realmadrid,14872237,1459038246776840192,https://twitter.com/14872237/status/1459038246776840192,0,562,57,15850,18,39117658
realmadrid,14872237,1458947650775101440,https://twitter.com/14872237/status/1458947650775101440,0,187,33,4455,11,39117658
realmadrid,14872237,1458928775035506689,https://twitter.com/14872237/status/1458928775035506689,0,381,14,13167,18,39117658
realmadrid,14872237,1458921225799942170,https://twitter.com/14872237/status/1458921225799942170,0,280,24,7540,18,39117658
realmadrid,14872237,1458913675788521472,https://twitter.com/14872237/status/1458913675788521472,0,381,35,12079,12,39117658
realmadrid,14872237,1458887255070756868,https://twitter.com/14872237/status/1458887255070756868,0,477,108,19878,52,39117658
realmadrid,14872237,1458864603597873152,https://twitter.com/14872237/status/1458864603597873152,0,172,25,5201,7,39117658
realmadrid,14872237,1458857054035079169,https://twitter.com/14872237/status/1458857054035079169,0,136,13,4663,3,39117658
realmadrid,14872237,1458851707664977929,https://twitter.com/14872237/status/1458851707664977929,0,34,0,0,0,39117658
realmadrid,14872237,1458826855084027912,https://twitter.com/14872237/status/1458826855084027912,39490,140,52,5196,14,39117658
realmadrid,14872237,1458811768034058240,https://twitter.com/14872237/status/1458811768034058240,0,196,20,3784,3,39117658
realmadrid,14872237,1458783460198334470,https://twitter.com/14872237/status/1458783460198334470,0,169,14,4927,7,39117658
realmadrid,14872237,1458766457253154824,https://twitter.com/14872237/status/1458766457253154824,0,393,63,12782,23,39117658
realmadrid,14872237,1458752417990860800,https://twitter.com/14872237/status/1458752417990860800,0,289,33,9508,8,39117658
Atalanta_BC,338995273,1460184115416817667,https://twitter.com/338995273/status/1460184115416817667,0,9,1,147,0,436217
Atalanta_BC,338995273,1459936667503108103,https://twitter.com/338995273/status/1459936667503108103,0,22,2,154,1,436217
Atalanta_BC,338995273,1459886770426888192,https://twitter.com/338995273/status/1459886770426888192,0,13,2,189,0,436217
Atalanta_BC,338995273,1459614548160307211,https://twitter.com/338995273/status/1459614548160307211,0,353,0,0,0,436217
Atalanta_BC,338995273,1459599512113139715,https://twitter.com/338995273/status/1459599512113139715,0,32,9,348,1,436217
Atalanta_BC,338995273,1459521296463708165,https://twitter.com/338995273/status/1459521296463708165,0,29,7,242,12,436217
Atalanta_BC,338995273,1459479838276952064,https://twitter.com/338995273/status/1459479838276952064,0,5,2,105,0,436217
Atalanta_BC,338995273,1459195135540051976,https://twitter.com/338995273/status/1459195135540051976,0,7,0,114,2,436217
Atalanta_BC,338995273,1459129935113633820,https://twitter.com/338995273/status/1459129935113633820,1086,4,1,85,0,436217
Atalanta_BC,338995273,1459118240664363012,https://twitter.com/338995273/status/1459118240664363012,0,3,2,32,3,436217
Atalanta_BC,338995273,1459118235677335556,https://twitter.com/338995273/status/1459118235677335556,0,7,10,83,3,436217
Atalanta_BC,338995273,1458863956404092938,https://twitter.com/338995273/status/1458863956404092938,0,7,1,99,2,436217
Atalanta_BC,338995273,1458839292747337733,https://twitter.com/338995273/status/1458839292747337733,0,11,1,184,1,436217
Atalanta_BC,338995273,1458753852942041088,https://twitter.com/338995273/status/1458753852942041088,0,6,5,55,2,436217
Atalanta_BC,338995273,1458511481146912769,https://twitter.com/338995273/status/1458511481146912769,0,8,1,90,2,436217
Atalanta_BC,338995273,1458496570375159809,https://twitter.com/338995273/status/1458496570375159809,0,8,4,98,2,436217
Atalanta_BC,338995273,1458470956977037313,https://twitter.com/338995273/status/1458470956977037313,0,8,1,92,1,436217
Atalanta_BC,338995273,1458158644902731781,https://twitter.com/338995273/status/1458158644902731781,0,1,2,44,0,436217
Atalanta_BC,338995273,1458032951103574024,https://twitter.com/338995273/status/1458032951103574024,0,16,3,166,4,436217
Atalanta_BC,338995273,1457702228920254466,https://twitter.com/338995273/status/1457702228920254466,0,7,1,141,2,436217
Atalanta_BC,338995273,1457432925503381507,https://twitter.com/338995273/status/1457432925503381507,0,8,0,63,1,436217
Atalanta_BC,338995273,1457387954075230220,https://twitter.com/338995273/status/1457387954075230220,0,14,5,131,1,436217
Atalanta_BC,338995273,1457366230893957120,https://twitter.com/338995273/status/1457366230893957120,0,7,1,77,0,436217
Atalanta_BC,338995273,1457315723131473925,https://twitter.com/338995273/status/1457315723131473925,0,14,2,207,1,436217
Atalanta_BC,338995273,1457286509959200772,https://twitter.com/338995273/status/1457286509959200772,0,41,0,0,0,436217
Atalanta_BC,338995273,1457286408473829381,https://twitter.com/338995273/status/1457286408473829381,0,18,0,0,0,436217
Atalanta_BC,338995273,1457265522601512963,https://twitter.com/338995273/status/1457265522601512963,0,1,0,8,0,436217
Atalanta_BC,338995273,1457265398823460866,https://twitter.com/338995273/status/1457265398823460866,0,1,1,47,0,436217
Atalanta_BC,338995273,1457120680282034179,https://twitter.com/338995273/status/1457120680282034179,0,16,5,136,4,436217
Atalanta_BC,338995273,1457118486489141256,https://twitter.com/338995273/status/1457118486489141256,0,6,1,61,0,436217
Atalanta_BC,338995273,1457100442421415937,https://twitter.com/338995273/status/1457100442421415937,0,59,8,319,18,436217
Atalanta_BC,338995273,1457099383850287109,https://twitter.com/338995273/status/1457099383850287109,0,1,0,22,0,436217
Atalanta_BC,338995273,1457099368214024200,https://twitter.com/338995273/status/1457099368214024200,0,0,0,16,0,436217
Atalanta_BC,338995273,1457098010542886922,https://twitter.com/338995273/status/1457098010542886922,0,0,0,18,0,436217
Atalanta_BC,338995273,1457097425798275078,https://twitter.com/338995273/status/1457097425798275078,0,0,0,12,0,436217
Atalanta_BC,338995273,1457097331971592194,https://twitter.com/338995273/status/1457097331971592194,0,1,0,15,0,436217
Atalanta_BC,338995273,1457095669001379849,https://twitter.com/338995273/status/1457095669001379849,0,1,0,11,0,436217
Atalanta_BC,338995273,1457095403657056257,https://twitter.com/338995273/status/1457095403657056257,0,2,1,21,0,436217
Atalanta_BC,338995273,1457091808975015937,https://twitter.com/338995273/status/1457091808975015937,0,1,0,14,0,436217
Atalanta_BC,338995273,1457091524114714627,https://twitter.com/338995273/status/1457091524114714627,0,0,1,13,0,436217
Atalanta_BC,338995273,1457087945517715463,https://twitter.com/338995273/status/1457087945517715463,0,1,0,14,0,436217
Atalanta_BC,338995273,1457087316766433287,https://twitter.com/338995273/status/1457087316766433287,0,2,0,28,0,436217
Atalanta_BC,338995273,1457084385421889545,https://twitter.com/338995273/status/1457084385421889545,0,10,4,121,1,436217
Atalanta_BC,338995273,1457083416940216323,https://twitter.com/338995273/status/1457083416940216323,0,8,0,116,4,436217
Atalanta_BC,338995273,1457082730500472836,https://twitter.com/338995273/status/1457082730500472836,0,60,6,329,9,436217
Atalanta_BC,338995273,1457078766128271361,https://twitter.com/338995273/status/1457078766128271361,0,0,6,25,2,436217
Atalanta_BC,338995273,1457078553103699968,https://twitter.com/338995273/status/1457078553103699968,0,0,1,22,0,436217
Atalanta_BC,338995273,1457078075989143554,https://twitter.com/338995273/status/1457078075989143554,0,0,0,15,0,436217
Atalanta_BC,338995273,1457076374947213312,https://twitter.com/338995273/status/1457076374947213312,0,11,0,138,2,436217
