username,author_id,tweet_id,tweet_link,view_count,retweet_count,reply_count,like_count,quote_count,followers
realmadrid,14872237,1460374571857727488,https://twitter.com/14872237/status/1460374571857727488,132390,1132,0,0,0,39118216
realmadrid,14872237,1460314153797578752,https://twitter.com/14872237/status/1460314153797578752,0,1132,96,10148,217,39118216
realmadrid,14872237,1460299055276322816,https://twitter.com/14872237/status/1460299055276322816,0,115,9,1940,4,39118216
realmadrid,14872237,1460287112226512898,https://twitter.com/14872237/status/1460287112226512898,103882,215,30,3038,14,39118216
realmadrid,14872237,1460268857004900361,https://twitter.com/14872237/status/1460268857004900361,0,324,32,7028,25,39118216
realmadrid,14872237,1460238717453541381,https://twitter.com/14872237/status/1460238717453541381,0,172,0,0,0,39118216
realmadrid,14872237,1460223556667777034,https://twitter.com/14872237/status/1460223556667777034,135785,1188,118,18380,178,39118216
realmadrid,14872237,1460201129929752578,https://twitter.com/14872237/status/1460201129929752578,0,484,45,4891,88,39118216
realmadrid,14872237,1460179557961633794,https://twitter.com/14872237/status/1460179557961633794,0,101,17,2329,2,39118216
realmadrid,14872237,1459955540830871553,https://twitter.com/14872237/status/1459955540830871553,0,208,134,9582,42,39118216
realmadrid,14872237,1459947991284928513,https://twitter.com/14872237/status/1459947991284928513,72567,174,38,5817,7,39118216
realmadrid,14872237,1459937421215375360,https://twitter.com/14872237/status/1459937421215375360,0,430,45,4827,45,39118216
realmadrid,14872237,1459924083374764033,https://twitter.com/14872237/status/1459924083374764033,0,523,57,18129,28,39118216
realmadrid,14872237,1459861168835731466,https://twitter.com/14872237/status/1459861168835731466,0,195,38,6858,14,39118216
realmadrid,14872237,1459830970807422976,https://twitter.com/14872237/status/1459830970807422976,0,649,346,24646,130,39118216
realmadrid,14872237,1459646001124454405,https://twitter.com/14872237/status/1459646001124454405,0,233,28,7407,12,39118216
realmadrid,14872237,1459642233099984902,https://twitter.com/14872237/status/1459642233099984902,0,326,94,11277,30,39118216
realmadrid,14872237,1459639106326175750,https://twitter.com/14872237/status/1459639106326175750,0,1620,175,37844,83,39118216
realmadrid,14872237,1459596932645539854,https://twitter.com/14872237/status/1459596932645539854,0,194,37,6967,8,39118216
realmadrid,14872237,1459589377986732033,https://twitter.com/14872237/status/1459589377986732033,0,178,50,5936,28,39118216
realmadrid,14872237,1459581830596894731,https://twitter.com/14872237/status/1459581830596894731,82067,472,60,15136,11,39118216
realmadrid,14872237,1459538767677734913,https://twitter.com/14872237/status/1459538767677734913,0,57,0,0,0,39118216
realmadrid,14872237,1459491231424204805,https://twitter.com/14872237/status/1459491231424204805,0,388,29,6647,16,39118216
realmadrid,14872237,1459430833798799360,https://twitter.com/14872237/status/1459430833798799360,0,200,31,6265,7,39118216
realmadrid,14872237,1459279846744330245,https://twitter.com/14872237/status/1459279846744330245,0,327,79,12739,35,39118216
realmadrid,14872237,1459264741378084867,https://twitter.com/14872237/status/1459264741378084867,0,446,47,9873,31,39118216
realmadrid,14872237,1459234543810977794,https://twitter.com/14872237/status/1459234543810977794,0,171,25,3391,7,39118216
realmadrid,14872237,1459234542984724481,https://twitter.com/14872237/status/1459234542984724481,52702,148,62,5303,12,39118216
realmadrid,14872237,1459204344235102212,https://twitter.com/14872237/status/1459204344235102212,0,235,22,5053,14,39118216
realmadrid,14872237,1459189252802162693,https://twitter.com/14872237/status/1459189252802162693,53942,706,68,22695,43,39118216
realmadrid,14872237,1459174156252205056,https://twitter.com/14872237/status/1459174156252205056,0,186,0,0,0,39118216
realmadrid,14872237,1459159048918609923,https://twitter.com/14872237/status/1459159048918609923,0,299,46,3639,41,39118216
realmadrid,14872237,1459143945947127809,https://twitter.com/14872237/status/1459143945947127809,0,328,33,10661,12,39118216
